nm,Asta80
435.6,78641.6422071429
436,79289.1946135714
436.4,79921.3291035714
436.8,80603.571815
437.2,81289.6690078571
437.6,81957.77863
438,82606.6158635714
438.4,83300.4220192857
438.8,83969.8164685714
439.2,84607.0902671429
439.6,85281.6240157143
440,85942.0246842857
440.4,86593.4315721429
440.8,87240.9839785714
441.2,87915.5177364286
441.6,88573.3487507143
442,89251.73699
442.4,89941.688655
442.8,90620.0768942857
443.2,91283.0472078572
443.6,91942.1630585714
444,92599.9940728571
444.4,93261.6795685714
444.8,93909.231975
445.2,94564.493335
445.6,95237.7422657143
446,95913.5608507143
446.4,96567.5373835714
446.8,97216.3746171429
447.2,97857.5028878572
447.6,98498.6311678571
448,99108.923615
448.4,99738.4884507143
448.8,100404.028427857
449.2,101042.587044286
449.6,101629.752621429
450,102255.462985
450.4,102881.173339286
450.8,103530.010572857
451.2,104153.151282143
451.6,104799.418861429
452,105440.547141429
452.4,106044.415452857
452.8,106630.296202857
453.2,107262.430692857
453.6,107885.571402143
454,108492.009367857
454.4,109050.908766429
454.8,109636.789516429
455.2,110234.233701429
455.6,110880.501280714
456,111445.824805714
456.4,112023.996602143
456.8,112572.617392857
457.2,113134.086436429
457.6,113696.840316429
458,114245.461107143
458.4,114746.543321429
458.8,115328.56959
459.2,115864.342118571
459.6,116362.854687857
460,116863.936902143
460.4,117352.170863571
460.8,117863.531695
461.2,118367.183563571
461.6,118783.467251429
462,119270.416385714
462.4,119734.238640714
462.8,120194.206423571
463.2,120587.363241429
463.6,121013.925537143
464,121407.082355
464.4,121831.075005714
464.8,122273.055217857
465.2,122662.357554286
465.6,123063.223335
466,123462.804279286
466.4,123857.245924286
466.8,124231.130353571
467.2,124593.451338571
467.6,124931.360626429
468,125253.852007143
468.4,125612.31852
468.8,125882.132025
469.2,126122.394524286
469.6,126420.474198571
470,126767.377276429
470.4,126900.999197143
470.8,127163.103748571
471.2,127376.384896429
471.6,127602.514306429
472,127806.801673571
472.4,128021.367648571
472.8,128183.255747857
473.2,128377.264507143
473.6,128582.836701429
474,128762.712371429
474.4,128933.594251429
474.8,129045.374129286
475.2,129199.553275
475.6,129353.732420714
476,129430.821993571
476.4,129537.462562857
476.8,129606.843182143
477.2,129700.635498571
477.6,129807.276067857
478,129876.656687143
478.4,129893.359421429
478.8,129915.201473571
479.2,129948.606951429
479.6,129957.600732143
480,130000
480.4,130000
480.8,129931.904207857
481.2,129922.910427143
481.6,129880.511159286
482,129854.814635
482.4,129755.883019286
482.8,129671.084492857
483.2,129610.697663571
483.6,129563.159087143
484,129478.360560714
484.4,129366.580682857
484.8,129241.952542857
485.2,129157.154007143
485.6,129045.374129286
486,128878.346721429
486.4,128724.167585
486.8,128557.140177143
487.2,128406.815512857
487.6,128241.072932143
488,128022.652475714
488.4,127820.934762857
488.8,127628.210830714
489.2,127439.34138
489.6,127211.927142857
490,126994.791513571
490.4,126784.080010714
490.8,126507.842379286
491.2,126326.681891429
491.6,126027.317380714
492,125779.345927857
492.4,125473.557290714
492.8,125129.223867143
493.2,124802.878014286
493.6,124488.095587143
494,124105.217386429
494.4,123755.744654286
494.8,123415.265712143
495.2,123046.520591429
495.6,122715.03543
496,122338.581355714
496.4,121946.709365
496.8,121525.286368571
497.2,121105.148199286
497.6,120696.573465
498,120223.757429286
498.4,119734.238640714
498.8,119281.979820714
499.2,118804.024467143
499.6,118319.644996429
500,117827.556553571
500.4,117302.062642143
500.8,116754.726678571
501.2,116244.650674286
501.6,115663.909232857
502,115093.446399286
502.4,114510.135303571
502.8,113970.508293571
503.2,113366.639982143
503.6,112737.075146429
504,112137.061307143
504.4,111470.236502857
504.8,110772.575875
505.2,110114.744860714
505.6,109406.805625
506,108719.423605
506.4,107992.211980714
506.8,107285.557562857
507.2,106567.339719286
507.6,105796.444
508,105034.542061429
508.4,104248.228425714
508.8,103491.465786429
509.2,102726.994202857
509.6,101927.832305
510,101172.354492857
510.4,100347.496070714
510.8,99509.7893864286
511.2,98675.9371835714
511.6,97844.6546257143
512,96987.6755528571
512.4,96125.5571714286
512.8,95259.5843085714
513.2,94360.2059678571
513.6,93474.9607164286
514,92573.0127214286
514.4,91683.9129885714
514.8,90785.819475
515.2,89859.4597828572
515.6,88926.675955
516,87988.7528278571
516.4,87034.1269571429
516.8,86057.6590435714
517.2,85074.7670035714
517.6,84138.1287035714
518,83157.8063085714
518.4,82163.3508242857
518.8,81181.7436114286
519.2,80201.4212164286
519.6,79249.365
520,78284.4605214286
520.4,77291.2898642857
520.8,76285.2709542857
521.2,75289.5306428571
521.6,74304.0689485714
522,73317.3224178571
522.4,72329.2910692857
522.8,71356.6776371429
523.2,70394.3428128571
523.6,69390.8935478572
524,68401.5773721429
524.4,67427.6791128572
524.8,66446.0718907143
525.2,65468.31915
525.6,64500.8450171429
526,63511.5288414286
526.4,62567.1815878571
526.8,61595.8529735714
527.2,60609.1064521429
527.6,59660.9047171429
528,58699.85472
528.4,57743.9440221429
528.8,56802.1664135714
529.2,55861.6736321429
529.6,54928.8898135714
530,54006.3845935714
530.4,53074.8856021429
530.8,52135.6776478571
531.2,51210.6027828571
531.6,50324.0727042857
532,49428.5488357143
532.4,48539.4491028571
532.8,47652.9190242857
533.2,46766.3889457143
533.6,45914.5491721429
534,45046.0066642857
534.4,44192.8820635714
534.8,43391.1505114286
535.2,42580.4251785714
535.6,41764.5605371429
536,40957.6896857143
536.4,40159.812615
536.8,39379.9231057143
537.2,38600.0336057143
537.6,37830.4227042857
538,37071.09042
538.4,36327.1760521429
538.8,35589.6858107143
539.2,34859.9045321429
539.6,34142.9715064286
540,33410.6205735714
540.4,32714.2447728571
540.8,32040.9958421429
541.2,31362.6076028571
541.6,30690.6434992857
542,30010.9704421429
542.4,29367.2725078571
542.8,28713.295975
543.2,28077.3070035714
543.6,27447.7421678571
544,26846.4435014286
544.4,26257.9930971429
544.8,25673.3971835714
545.2,25090.0860878571
545.6,24522.1928992857
546,23965.863155
546.4,23426.2361542857
546.8,22898.1725792857
547.2,22355.9759242857
547.6,21844.6150928571
548,21353.8114864286
548.4,20864.2927071429
548.8,20381.1980542857
549.2,19905.812355
549.6,19431.7114828571
550,18991.0160978571
550.4,18540.042105
550.8,18101.916365
551.2,17674.0692421429
551.6,17248.7917735714
552,16824.7991228571
552.4,16426.5029964286
552.8,16026.9220521429
553.2,15629.9107528571
553.6,15257.3111507143
554,14878.2874221429
554.4,14522.3905635714
554.8,14176.7723221429
555.2,13828.5844171429
555.6,13466.2634321429
556,13125.7844807143
556.4,12807.1475907143
556.8,12498.7892992857
557.2,12189.1461807143
557.6,11874.3637628571
558,11571.14478
558.4,11279.4892321429
558.8,10994.2578107143
559.2,10698.7477907143
559.6,10434.0735942857
560,10166.8297435714
560.4,9944.55480571429
560.8,9699.15300714286
561.2,9446.04224571429
561.6,9200.64043785714
562,8975.795855
562.4,8754.80574428571
562.8,8524.82185285714
563.2,8305.11656928572
563.6,8090.55059428571
564,7882.408755
564.4,7685.83034142857
564.8,7503.38502642857
565.2,7311.94592142857
565.6,7126.93094285714
566,6935.49183785714
566.4,6755.61617714286
566.8,6595.01289571429
567.2,6418.99170714286
567.6,6250.67947214286
568,6093.93068142857
568.4,5944.890835
568.8,5791.99652571429
569.2,5636.53255285714
569.6,5492.632015
570,5357.72526714286
570.4,5226.67299142857
570.8,5096.90554285714
571.2,4961.998795
571.6,4833.51617357143
572,4732.01490357143
572.4,4604.81710928571
572.8,4472.48000642857
573.2,4361.98495571429
573.6,4264.33816714286
574,4149.988635
574.4,4043.34805642857
574.8,3959.83435714286
575.2,3859.61791428571
575.6,3743.983555
576,3661.75467357143
576.4,3567.96236642857
576.8,3483.16383071429
577.2,3391.94117785714
577.6,3309.71229642857
578,3219.77446142857
578.4,3149.10902428571
578.8,3070.73462428571
579.2,2996.21470571429
579.6,2912.70099714286
580,2836.89625142857
580.4,2779.07907642857
580.8,2718.69224714286
581.2,2651.88128214286
581.6,2576.07653642857
582,2493.847655
582.4,2442.45460642857
582.8,2398.77052071429
583.2,2328.10508357143
583.6,2270.28789928571
584,2209.90107
584.4,2159.79284857143
584.8,2109.68462714286
585.2,2059.57640571429
585.6,2005.61370285714
586,1955.50548142857
586.4,1902.82760571429
586.8,1868.13730071429
587.2,1833.44698642857
587.6,1779.48429285714
588,1726.80641714286
588.4,1683.12232214286
588.8,1651.00167142857
589.2,1615.02653928571
589.6,1563.63349071429
590,1528.94317642857
590.4,1504.53147928571
590.8,1468.55634714286
591.2,1432.581215
591.6,1404.31503642857
592,1372.19438571429
592.4,1333.64959928571
592.8,1293.81998571429
593.2,1255.27519928571
593.6,1224.43936642857
594,1200.02766928571
594.4,1165.33736428571
594.8,1139.64084
595.2,1101.09605357143
595.6,1076.68435642857
596,1075.39952928571
596.4,1052.27265928571
596.8,1025.29130785714
597.2,993.170657142857
597.6,973.898259285714
598,945.632080714286
598.4,921.220383571429
598.8,890.38456
599.2,873.681816428571
599.6,845.415637857143
600,835.13703
600.4,821.003940714286
600.8,797.877070714286
